epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
7,0.2345908994074446,0.0951965736150313,0.9531055480555732,0.9605911330049262,resnet50,balanced_ce,2025
8,0.210892813530978,0.0870180708678876,0.9674447237797312,0.9688013136289,resnet50,balanced_ce,2025
9,0.1745974496059342,0.7118400376418541,0.7350609881931658,0.7307060755336617,resnet50,balanced_ce,2025
10,0.1349377788249763,0.1613490297767069,0.9467883630109992,0.942528735632184,resnet50,balanced_ce,2025
11,0.1327047406042711,0.483822122297658,0.8859850790945484,0.8735632183908046,resnet50,balanced_ce,2025
12,0.1075125793820027,0.1196924107354164,0.9630836759603046,0.9622331691297208,resnet50,balanced_ce,2025
13,0.1326781292555621,0.0740560698559987,0.9803953037243284,0.9819376026272578,resnet50,balanced_ce,2025
14,0.0975630314670411,0.1314170575335206,0.9611535149291588,0.9540229885057472,resnet50,balanced_ce,2025
15,0.0972842876116871,0.0249229271126341,0.9957297345925512,0.9950738916256158,resnet50,balanced_ce,2025
16,0.0822374772653638,0.0790311997486446,0.974878408146609,0.9704433497536946,resnet50,balanced_ce,2025
17,0.073916066259879,0.0214388843377087,0.9972111671748652,0.9967159277504104,resnet50,balanced_ce,2025
18,0.0754525434374743,0.0554147123776633,0.9795812486367106,0.9786535303776684,resnet50,balanced_ce,2025
19,0.0373248933917582,0.044914108855506,0.987150584720004,0.9852216748768472,resnet50,balanced_ce,2025
20,0.0557134550981393,0.0471985913742003,0.987508472982842,0.986863711001642,resnet50,balanced_ce,2025
21,0.05327401396807,0.0463481888493097,0.985360153756236,0.9852216748768472,resnet50,balanced_ce,2025
22,0.0299633103505477,0.0452262094023765,0.9869722209625692,0.9852216748768472,resnet50,balanced_ce,2025
23,0.0440763702870613,0.0422157230978133,0.987441655066846,0.9852216748768472,resnet50,balanced_ce,2025
24,0.0139248430828755,0.0149257185736948,0.9959126139958896,0.9950738916256158,resnet50,balanced_ce,2025
25,0.0221855032218657,0.0191702589425744,0.9958930818063944,0.9950738916256158,resnet50,balanced_ce,2025
1,0.928745322885329,0.9627881488580812,0.6066522732644719,0.6748768472906403,resnet50,balanced_ce,27182
2,0.6561795619962923,0.4757303636649559,0.8344794527486917,0.80623973727422,resnet50,balanced_ce,27182
